Specimen No.,Year,Era,Species,Scent Morph,Date,Location,State,Altitude (m),Altitude (ft),Habitat (NMS),Habitat-description,Collector,Mounted?,Notes,NMS NOTES,Photos taken?,Corolla.Flare_1,Sepal.Length_1,Tube.Length_1,Lobe.Length_1,Lobe.Width_1,Notes,NMS NOTES,Dissected?,No.PVgrains_stigma,No.PVgrains_off,No.OtherGrains,No.OtherTypes,Notes,No.PVgrains_stigma,No.PVgrains_off,No.OtherGrains,No.OtherTypes,Notes,,flrln,flrwd,no.flr.counted,conmean,hetmean,purity,Flower,Focal Count,Foreign Count,Flower,Focal Count,Foreign Count,Flower,Focal Count,Foreign Count,Notes
45,1985,past,Polemonium viscosum,Skunky,7/4/85,Penn Mountain,Colorado,3550,"11,646",krummholz,Trailor flat,Candace Galen,no, 2 stigmas already removed & counted,*2nd PRIORITY,yes,1.39,1.67,2.26,0.84,0.7,,*3rd PRIORITY count Carlie's slides,Carlie,1,0,0,0,,2,0,0,0,,,16.62,8.72,2,1.5,0,1,1,1,0,2,2,0,,,,s
46,1985,past,Polemonium viscosum,Skunky,7/4/85,Penn Mountain,Colorado,3550,"11,646",krummholz,Trailor flat,Candace Galen,no, 2 stigmas already removed & counted,*2nd PRIORITY,yes,0.78,1.56,2.12,0.85,0.43,"took picture of 3 remaining flowers, but they were detached",*3rd PRIORITY count Carlie's slides,Carlie,38,3,74,5,,37,5,101,2,,,23.44,11.95,2,36.5,86.5,0.296748,1,36,69,2,37,104,,,,
49,1985,past,Polemonium viscosum,Skunky,7/4/85,Penn Mountain,Colorado,3550,"11,646",krummholz,Trailor flat,Candace Galen,no, 2 stigmas already removed & counted,*2nd PRIORITY,yes,1.54,1.64,2.03,0.86,0.71,,*3rd PRIORITY count Carlie's slides,Carlie,42,7,87,3,,25,4,78,4,,,28.52,14.4,2,36.5,37,0.496599,1,47,21,2,26,53,,,,
#5-3-25,1985,past,Polemonium viscosum,Skunky,7/16/85,Rocky Mtn NP,Colorado,3825,"12,550",high alpine,"Summit, Sundance Mountain, rocky tundra",Candace Galen,yes,,*1st PRIORITY,yes,0.77,0.83,1.24,0.54,0.51,,*2nd PRIORITY,yes,2,158,28,3,,,,,,,,,,,,,,,,,,,,,,,
28,1985,past,Polemonium viscosum,Skunky,7/16/85,Rocky Mtn NP,Colorado,3825,"12,550",high alpine,Sundance,Candace Galen,no, 3 stigmas already removed & counted,*2nd PRIORITY,yes,1.23,1.03,1.53,0.66,0.53,,*3rd PRIORITY count Carlie's slides,Carlie,15,0,354,4,,11,4,144,5,,,,,3,13.66667,197.6667,0.028926,1,15,315,2,14,140,3,12,138,
29,1985,past,Polemonium viscosum,Skunky,7/16/85,Rocky Mtn NP,Colorado,3825,"12,550",high alpine,Sundance,Candace Galen,no, 2 stigmas already removed & counted,*2nd PRIORITY,yes,1.44,1.18,1.6,0.65,0.59,,*3rd PRIORITY count Carlie's slides,Carlie,18,2,401,3,,21,1,278,3,,,23.05,9.87,2,20,312.5,0.06015,1,18,375,2,22,250,,,,
32,1985,past,Polemonium viscosum,Skunky,7/16/85,Rocky Mtn NP,Colorado,3825,"12,550",high alpine,Sundance,Candace Galen,no, 2 stigmas already removed & counted,*2nd PRIORITY,yes,1.49,1.5,2.06,0.8,0.69,,*3rd PRIORITY count Carlie's slides,Carlie,10,1,241,4,,9,3,430,3,,,27,14.24,2,10,323,0.03003,1,11,222,2,9,424,,,,
17-025,2017,present,Polemonium viscosum,Skunky,6/27/17,Cumberland Pass,Colorado,3761,,high alpine,,Nicole Miller-Struttmann et al. ,no,,*2nd PRIORITY,yes,0.92,0.93,1.53,0.55,0.65,,Dissection finished,yes,78,26,59,3,,,,,,,,,,,,,,,,,,,,,,,
17-026,2017,present,Polemonium viscosum,Skunky,6/27/17,Cumberland Pass,Colorado,3761,,high alpine,,Nicole Miller-Struttmann et al. ,no,,*2nd PRIORITY,yes,0.81,1.26,1.72,0.65,0.44,,Dissection finished,yes,76,38,78,3,,,,,,,,,,,,,,,,,,,,,,,
17-020,2017,present,Polemonium viscosum,Skunky,6/27/17,Cumberland Pass,Colorado,3761,,high alpine,,Nicole Miller-Struttmann et al. ,no,,Photos finished,yes,1.17,0.98,1.45,0.66,0.6,,Dissection finished,yes,88,98,734,8,,,,,,,,,,,,,,,,,,,,,,,
