Specimen No.,Year,Era,Species,Scent Morph,Date,Location,State,Altitude (m),Altitude (ft),Habitat (NMS),Habitat-description,Collector,Mounted?,Notes,NMS NOTES,Photos taken?,Corolla.Flare_1,Sepal.Length_1,Tube.Length_1,Lobe.Length_1,Lobe.Width_1,Notes,NMS NOTES,Dissected?,No.PVgrains_stigma,No.PVgrains_off,No.OtherGrains,No.OtherTypes,Notes,No.PVgrains_stigma,No.PVgrains_off,No.OtherGrains,No.OtherTypes,Notes,,flrln,flrwd,no.flr.counted,conmean,hetmean,purity,Flower,Focal Count,Foreign Count,Flower,Focal Count,Foreign Count,Flower,Focal Count,Foreign Count,Notes
17-221,2017,present,Polemonium viscosum,Sweet,7/11/17,Rocky Mtn NP,Colorado,3586,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.19,1.37,1.83,0.94,0.71,,*2nd PRIORITY,no,171,7,92,7,,,,,,,,,,,,,,,,,,,,,,,
17-222,2017,present,Polemonium viscosum,Sweet,7/11/17,Rocky Mtn NP,Colorado,3586,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.2,1.8,1.9,0.89,0.51,,*2nd PRIORITY,yes,38,13,1171,5,,,,,,,,,,,,,,,,,,,,,,,
17-225,2017,present,Polemonium viscosum,Sweet,7/11/17,Rocky Mtn NP,Colorado,3586,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*1st PRIORITY,yes,1.53,1.12,1.17,1.04,0.74,,*2nd PRIORITY,yes,179,55,3,1,,,,,,,,,,,,,,,,,,,,,,,
17-219,2017,present,Polemonium viscosum,Sweet,7/11/17,Rocky Mtn NP,Colorado,3586,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*2nd PRIORITY,yes,1.49,1.33,1.71,0.67,0.62,,Dissection finished,yes,69,28,127,4,,,,,,,,,,,,,,,,,,,,,,,
17-182,2017,present,Polemonium viscosum,Skunky,7/9/17,Niwot Ridge,Colorado,3471,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*last PRIORITY,,,,,,,,Dissection finished,yes,122,22,36,4,,,,,,,,,,,,,,,,,,,,,,,
17-111,2017,present,Polemonium viscosum,Sweet,7/3/17,Penn Mountain,Colorado,3955,,high alpine,,Nicole Miller-Struttmann et al. ,no,,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-117,2017,present,Polemonium viscosum,Sweet,7/3/17,Penn Mountain,Colorado,3955,,high alpine,,Nicole Miller-Struttmann et al. ,no,,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-129,2017,present,Polemonium viscosum,Sweet,7/3/17,Penn Mountain,Colorado,3955,,high alpine,,Nicole Miller-Struttmann et al. ,no,,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-115,2017,present,Polemonium viscosum,Sweet,7/3/17,Penn Mountain,Colorado,3955,,high alpine,,Nicole Miller-Struttmann et al. ,no,,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-137,2017,present,Polemonium viscosum,Skunky,7/3/17,Penn Mountain,Colorado,3573,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-138,2017,present,Polemonium viscosum,Skunky,7/3/17,Penn Mountain,Colorado,3573,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-135,2017,present,Polemonium viscosum,Skunky,7/3/17,Penn Mountain,Colorado,3573,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-084,2017,present,Polemonium viscosum,Sweet,7/2/17,Penn Mountain,Colorado,3573,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-080,2017,present,Polemonium viscosum,Sweet,7/2/17,Penn Mountain,Colorado,3573,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-233,2017,present,Polemonium viscosum,Sweet,7/11/17,Rocky Mtn NP,Colorado,3739,,high alpine,,Nicole Miller-Struttmann et al. ,no,Sw-2,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-171,2017,present,Polemonium viscosum,Sweet,7/8/17,Niwot Ridge,Colorado,3746,,high alpine,,Nicole Miller-Struttmann et al. ,no,,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-170,2017,present,Polemonium viscosum,Sweet,7/8/17,Niwot Ridge,Colorado,3746,,high alpine,,Nicole Miller-Struttmann et al. ,no,,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-169,2017,present,Polemonium viscosum,Sweet,7/8/17,Niwot Ridge,Colorado,3746,,high alpine,,Nicole Miller-Struttmann et al. ,no,,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-172,2017,present,Polemonium viscosum,Sweet,7/9/17,Niwot Ridge,Colorado,3471,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-177,2017,present,Polemonium viscosum,Sweet,7/9/17,Niwot Ridge,Colorado,3471,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-173,2017,present,Polemonium viscosum,Sweet,7/9/17,Niwot Ridge,Colorado,3471,,krummholz,,Nicole Miller-Struttmann et al. ,no,,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-123,2017,present,Polemonium viscosum,Skunky,7/3/17,Penn Mountain,Colorado,3955,,high alpine,,Nicole Miller-Struttmann et al. ,no,,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-113,2017,present,Polemonium viscosum,Skunky,7/3/17,Penn Mountain,Colorado,3955,,high alpine,,Nicole Miller-Struttmann et al. ,no,,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-118,2017,present,Polemonium viscosum,Skunky,7/3/17,Penn Mountain,Colorado,3955,,high alpine,,Nicole Miller-Struttmann et al. ,no,,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-235,2017,present,Polemonium viscosum,Sweet,7/11/17,Rocky Mtn NP,Colorado,3739,,high alpine,,Nicole Miller-Struttmann et al. ,no,Sw-4,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-240,2017,present,Polemonium viscosum,Sweet,7/11/17,Rocky Mtn NP,Colorado,3739,,high alpine,,Nicole Miller-Struttmann et al. ,no,Sw-9,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1985,past,Polemonium viscosum,Skunky,7/16/85,Rocky Mtn NP,Colorado,3565,"11,700",low alpine,low tundra,Candace Galen,,*last priority; couldn't relocate the exact location,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1985,past,Polemonium viscosum,Skunky,7/16/85,Rocky Mtn NP,Colorado,3565,"11,700",low alpine,low tundra,Candace Galen,,2 stigmas already removed & counted; *last priority; couldn't relocate the exact location; 2 stigmas already removed & counted; *WE DO NOT NEED TO DISSECT: didn't resample this location,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,2,27,92.5,,1,18,69,2,36,116,,,,
8,1985,past,Polemonium viscosum,Skunky,7/16/85,Rocky Mtn NP,Colorado,3565,"11,700",low alpine,low tundra,Candace Galen,,2 stigmas already removed & counted; *last priority; couldn't relocate the exact location; 2 stigmas already removed & counted; *WE DO NOT NEED TO DISSECT: didn't resample this location,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,2,8.5,55,,1,7,36,2,10,74,,,,sweet on herbarium sheet but skunky in Carlie's notes
10,1985,past,Polemonium viscosum,Sweet,7/16/85,Rocky Mtn NP,Colorado,3565,"11,700",low alpine,low tundra,Candace Galen,,2 stigmas already removed & counted; *last priority; couldn't relocate the exact location; 2 stigmas already removed & counted; *WE DO NOT NEED TO DISSECT: didn't resample this location,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,22.63,10.43,2,20.5,126,0.139932,1,24,78,2,17,174,,,,
12,1985,past,Polemonium viscosum,Sweet,7/16/85,Rocky Mtn NP,Colorado,3565,"11,700",low alpine,low tundra,Candace Galen,,2 stigmas already removed & counted; *last priority; couldn't relocate the exact location; 2 stigmas already removed & counted; *WE DO NOT NEED TO DISSECT: didn't resample this location,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,25.89,10.89,2,7.5,38.5,0.163043,1,4,13,2,11,64,,,,
2,1985,past,Polemonium viscosum,Skunky,7/16/85,Rocky Mtn NP,Colorado,3565,"11,700",low alpine,low tundra,Candace Galen,yes,*last priority; couldn't relocate the exact location,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1985,past,Polemonium viscosum,Skunky,7/16/85,Rocky Mtn NP,Colorado,3565,"11,700",low alpine,low tundra,Candace Galen,yes,*last priority; couldn't relocate the exact location,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1985,past,Polemonium viscosum,Sweet,7/16/85,Rocky Mtn NP,Colorado,3565,"11,700",low alpine,low tundra,Candace Galen,yes,*last priority; couldn't relocate the exact location,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1985,past,Polemonium viscosum,Sweet,7/16/85,Rocky Mtn NP,Colorado,3565,"11,700",low alpine,low tundra,Candace Galen,yes,*last priority; couldn't relocate the exact location,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05-01-01,1985,past,Polemonium viscosum,Skunky,7/16/85,Rocky Mtn NP,Colorado,3565,"11,700",low alpine,low tundra,Candace Galen,yes,*last priority; couldn't relocate the exact location,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#05-01-08,1985,past,Polemonium viscosum,Sweet,7/16/85,Rocky Mtn NP,Colorado,3565,"11,700",low alpine,low tundra,Candace Galen,yes,*last priority; couldn't relocate the exact location,*last PRIORITY,,,,,,,,*last PRIORITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1985,past,Polemonium viscosum,Sweet,7/4/85,Penn Mountain,Colorado,3600,"11,810",krummholz,,Candace Galen,yes,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1985,past,Polemonium viscosum,Skunky,7/4/85,Penn Mountain,Colorado,3600,"11,810",krummholz,,Candace Galen,yes,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1985,past,Polemonium viscosum,Skunky,7/4/85,Penn Mountain,Colorado,3660,"12,007",low alpine,"Flat 1, tundra",Candace Galen,,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1985,past,Polemonium viscosum,Sweet,7/4/85,Penn Mountain,Colorado,3660,"12,007",low alpine,"Flat 1, tundra",Candace Galen,,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1985,past,Polemonium viscosum,Skunky,7/4/85,Penn Mountain,Colorado,3660,"12,005",low alpine,flat 1,Candace Galen,,2 stigmas already removed & counted; *WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,19.51,6.33,2,24.5,34,0.418803,1,32,38,2,17,30,,,,
#3-2-31,1985,past,Polemonium viscosum,Skunky,7/4/85,Penn Mountain,Colorado,3660,"12,007",low alpine,"Flat 1, tundra",Candace Galen,yes,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
#3-2-34,1985,past,Polemonium viscosum,Sweet,7/4/85,Penn Mountain,Colorado,3660,"12,007",low alpine,"Flat 1, tundra",Candace Galen,yes,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1985,past,Polemonium viscosum,Skunky,7/4/85,Penn Mountain,Colorado,3700,"12,135",alpine,,Candace Galen,yes,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1985,past,Polemonium viscosum,Sweet,7/4/85,Penn Mountain,Colorado,3700,"12,139",alpine,,Candace Galen,yes,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1985,past,Polemonium viscosum,Skunky,7/4/85,Penn Mountain,Colorado,3700,"12,135",alpine,,Candace Galen,yes,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1985,past,Polemonium viscosum,Sweet,7/4/85,Penn Mountain,Colorado,3700,"12,135",alpine,,Candace Galen,yes,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1985,past,Polemonium viscosum,Sweet,7/4/85,Penn Mountain,Colorado,3700,"12,135",alpine,,Candace Galen,yes,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1985,past,Polemonium viscosum,Skunky,7/4/85,Penn Mountain,Colorado,3780,"12,401",alpine,"Flat 2, tundra",Candace Galen,,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1985,past,Polemonium viscosum,Skunky,7/4/85,Penn Mountain,Colorado,3780,"12,401",alpine,"Flat 2, tundra",Candace Galen,,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1985,past,Polemonium viscosum,Sweet,7/4/85,Penn Mountain,Colorado,3780,"12,401",alpine,"Flat 2, tundra",Candace Galen,,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1985,past,Polemonium viscosum,Skunky,7/4/85,Penn Mountain,Colorado,3780,"12,401",alpine,"Flat 2, tundra",Candace Galen,,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1985,past,Polemonium viscosum,Sweet,7/4/85,Penn Mountain,Colorado,3780,12401,alpine,flat 2,Candace Galen,,2 stigmas already removed & counted; *WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,24.88,8.48,2,16,34,0.32,1,24,63,2,8,5,,,,
30,1985,past,Polemonium viscosum,Sweet,7/4/85,Penn Mountain,Colorado,3780,12401,alpine,flat 2,Candace Galen,,2 stigmas already removed & counted; *WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,23.12,9.59,2,48.5,15,0.76378,1,68,4,2,29,26,,,,
#3-3-21,1985,past,Polemonium viscosum,Skunky,7/4/85,Penn Mountain,Colorado,3780,"12,401",alpine,"Flat 2, tundra",Candace Galen,yes,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
#3-3-23,1985,past,Polemonium viscosum,Sweet,7/4/85,Penn Mountain,Colorado,3780,"12,401",alpine,"Flat 2, tundra",Candace Galen,yes,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1985,past,Polemonium viscosum,Skunky,7/4/85,Penn Mountain,Colorado,3800,"12,464",alpine,,Candace Galen,yes,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1985,past,Polemonium viscosum,Sweet,7/4/85,Penn Mountain,Colorado,3800,"12,464",alpine,,Candace Galen,yes,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1985,past,Polemonium viscosum,Skunky,7/4/85,Penn Mountain,Colorado,3880,"12,729",alpine,"back false summit, tundra",Candace Galen,,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1985,past,Polemonium viscosum,Skunky,7/4/85,Penn Mountain,Colorado,3880,"12,729",alpine,"back false summit, tundra",Candace Galen,,2 stigmas already removed & counted; *WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,24.94,12.7,2,38.5,305,0.112082,1,44,254,2,33,356,,,,
18,1985,past,Polemonium viscosum,Sweet,7/4/85,Penn Mountain,Colorado,3880,"12,729",alpine,"back false summit, tundra",Candace Galen,,2 stigmas already removed & counted; *WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,2,3.5,110,0.030837,1,3,41,2,4,179,,,,
19,1985,past,Polemonium viscosum,Sweet,7/4/85,Penn Mountain,Colorado,3880,"12,729",alpine,"back false summit, tundra",Candace Galen,,2 stigmas already removed & counted; *WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,20.76,10.2,2,44.5,385.5,0.103488,1,46,423,2,43,348,,,,
#3-4-11,1985,past,Polemonium viscosum,Sweet,7/4/85,Penn Mountain,Colorado,3880,"12,729",alpine,"back false summit, tundra",Candace Galen,yes,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
#3-4-12,1985,past,Polemonium viscosum,Skunky,7/4/85,Penn Mountain,Colorado,3880,"12,729",alpine,"back false summit, tundra",Candace Galen,yes,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1985,past,Polemonium viscosum,Sweet,7/16/85,Rocky Mtn NP,Colorado,3670,"12,040",low alpine,Tundra Curves,Candace Galen,,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1985,past,Polemonium viscosum,Skunky,7/16/85,Rocky Mtn NP,Colorado,3670,"12,040",low alpine,Tundra Curves,Candace Galen,,2 stigmas already removed & counted; *WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,24.87,10.65,2,8,16,0.333333,1,13,12,2,3,20,,,,
19,1985,past,Polemonium viscosum,Sweet,7/16/85,Rocky Mtn NP,Colorado,3670,"12,040",low alpine,Tundra Curves,Candace Galen,,2 stigmas already removed & counted; *WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,26.25,8.38,2,50,5.5,0.900901,1,9,1,2,91,10,,,,
20,1985,past,Polemonium viscosum,Skunky,7/16/85,Rocky Mtn NP,Colorado,3670,"12,040",low alpine,Tundra Curves,Candace Galen,,2 stigmas already removed & counted; *WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,2,3.5,117.5,,1,0,48,2,7,187,,,,
22,1985,past,Polemonium viscosum,Skunky,7/16/85,Rocky Mtn NP,Colorado,3670,"12,040",low alpine,Tundra Curves,Candace Galen,,2 stigmas already removed & counted; *WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,24.39,10.4,2,9,37.5,0.193548,1,14,4,2,4,71,,,,
17,1985,past,Polemonium viscosum,Sweet,7/16/85,Rocky Mtn NP,Colorado,3670,"12,040",low alpine,Tundra Curves,Candace Galen,yes,2 stigmas already removed & counted; *WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,25.82,13.3,2,1,22.5,0.042553,1,1,28,2,1,17,,,,
15,1985,past,Polemonium viscosum,Sweet,7/16/85,Rocky Mtn NP,Colorado,3670,"12,040",low alpine,,Candace Galen,yes,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1985,past,Polemonium viscosum,Skunky,7/16/85,Rocky Mtn NP,Colorado,3670,"12,040",low alpine,,Candace Galen,yes,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
#5-2-13,1985,past,Polemonium viscosum,Skunky,7/16/85,Rocky Mtn NP,Colorado,3670,"12,040",low alpine,tundra curves,Candace Galen,yes,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
#5-2-14,1985,past,Polemonium viscosum,Sweet,7/16/85,Rocky Mtn NP,Colorado,3670,"12,040",low alpine,tundra curves,Candace Galen,yes,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1985,past,Polemonium viscosum,NA,7/17/85,San Francisco Peaks,Arizona,3596.64,"11,800",krummholz,,Candace Galen,,*WE DO NOT NEED TO DISSECT: didn't resample this location,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1985,past,Polemonium viscosum,NA,7/17/85,San Francisco Peaks,Arizona,3596.64,"11,800",krummholz,,Candace Galen,,*WE DO NOT NEED TO DISSECT,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1985,past,Polemonium viscosum,NA,7/17/85,San Francisco Peaks,Arizona,3596.64,"11,800",krummholz,,Candace Galen,,*WE DO NOT NEED TO DISSECT,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1985,past,Polemonium viscosum,NA,7/17/85,San Francisco Peaks,Arizona,3596.64,"11,800",krummholz,,Candace Galen,,*WE DO NOT NEED TO DISSECT,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1-1-25,1985,past,Polemonium viscosum,Skunky,6/17/85,San Francisco Peaks,Arizona,3596.64,"11,800",krummholz,,Candace Galen,,*WE DO NOT NEED TO DISSECT,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1985,past,Polemonium viscosum,NA,7/17/85,San Francisco Peaks,Arizona,3596.64,"11,800",krummholz,,Candace Galen,,*WE DO NOT NEED TO DISSECT,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:00 AM,1985,past,Polemonium viscosum,Skunky,7/17/85,San Francisco Peaks,Arizona,3657.6,"12,000",,,Candace Galen,,*WE DO NOT NEED TO DISSECT,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1985,past,Polemonium viscosum,Skunky,6/17/85,San Francisco Peaks,Arizona,3703.32,"12,150",,,Candace Galen,,*WE DO NOT NEED TO DISSECT,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1985,past,Polemonium viscosum,Skunky,6/17/85,San Francisco Peaks,Arizona,3703.32,"12,150",,,Candace Galen,,*WE DO NOT NEED TO DISSECT,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1985,past,Polemonium viscosum,Skunky,6/17/85,San Francisco Peaks,Arizona,3703.32,"12,150",,,Candace Galen,,*WE DO NOT NEED TO DISSECT,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1-2-3,1985,past,Polemonium viscosum,Skunky,6/17/85,San Francisco Peaks,Arizona,3703.32,"12,150",,,Candace Galen,,*WE DO NOT NEED TO DISSECT,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1985,past,Polemonium viscosum,NA,7/17/85,San Francisco Peaks,Arizona,3703.32,"12,150",,,Candace Galen,,*WE DO NOT NEED TO DISSECT,no measurements - didn't recollect at this location,,,,,,,,,no measurements - didn't recollect at this location,,,,,,,,,,,,,,,,,,,,,,,,,,,
